,Area,White Percent Area,Height,Width,Center_x,Center_y,Circle Area,Black Percent Circle
0,6229,42.94,121,98,49,272,9160,35.48
1,12785,81.6,161,119,59,1305,14957,18.38
2,2206,66.36,90,34,17,1536,3019,7.59
3,5014,58.6,86,80,53,769,5281,7.06
4,164,2.44,13,17,34,1609,153,7.84
5,1768,58.09,38,61,73,601,1809,6.8
6,9847,76.98,116,127,115,957,11309,16.96
7,473,3.17,23,31,73,91,530,24.15
8,16259,62.84,197,158,184,400,24328,36.25
9,262,0.0,20,18,136,2002,254,9.84
10,198,24.75,16,16,141,164,201,5.97
11,910,2.75,31,57,163,1789,1385,36.97
12,6700,56.57,125,91,194,1203,8824,28.01
13,179,0.0,17,14,178,1588,153,5.23
14,364,35.71,22,22,201,1411,380,5.79
15,438,21.92,24,23,212,438,380,0.0
16,928,28.99,46,36,223,1030,1256,33.44
17,191,0.0,18,19,215,1092,254,29.13
18,615,42.6,18,45,247,2038,706,15.01
19,7337,75.56,135,83,291,247,9160,18.84
20,275,0.0,28,31,267,1725,615,59.35
21,142,0.0,16,14,265,809,153,15.69
22,415,18.8,27,22,278,1464,452,10.4
23,20510,77.82,191,178,360,1766,26590,23.0
24,17090,81.39,158,161,362,999,19606,14.76
25,140,0.0,13,15,341,705,113,5.31
26,413,5.81,23,29,356,1392,452,17.48
27,174,17.24,14,15,369,141,153,1.96
28,7643,74.97,99,112,450,771,8494,12.28
29,21934,62.78,198,223,573,993,34636,37.9
30,3889,75.67,84,61,587,315,4071,8.74
31,11975,67.98,169,128,630,737,17203,35.92
32,1523,52.92,38,56,613,1240,1661,11.5
33,469,37.31,24,30,607,1735,530,14.91
34,19697,70.8,161,196,738,901,24884,18.71
35,1164,26.89,37,39,666,599,1017,4.62
36,7005,64.48,103,96,706,275,7542,14.35
37,224,5.36,18,17,666,556,201,5.47
38,3125,7.94,78,60,689,1265,3631,17.76
39,190,31.05,16,17,671,1969,201,9.45
40,890,51.69,35,34,734,741,907,5.07
41,17673,79.52,194,160,842,154,24328,33.15
42,328,13.72,18,22,812,600,314,4.78
43,1199,19.1,43,41,834,452,1256,16.4
44,30037,78.84,211,299,981,933,50670,40.47
45,292,30.48,20,19,919,594,254,1.57
46,140,0.0,14,14,958,458,153,9.8
47,160,11.25,17,15,1013,1983,153,14.38
48,680,0.0,31,32,1114,1875,706,7.65
49,3734,57.93,65,79,1152,271,3848,5.9
50,9525,77.05,106,136,1190,1637,11309,19.29
51,349,19.2,23,25,1190,1367,380,16.32
52,4657,56.73,73,91,1267,287,5026,12.26
53,475,29.47,29,30,1244,1327,615,23.58
54,7794,65.73,78,146,1321,2008,9852,14.96
55,3430,23.67,92,64,1316,364,4778,25.03
56,307,27.36,21,21,1365,1875,314,13.38
57,217,2.3,19,18,1368,1047,254,18.9
58,294,31.97,20,19,1406,364,254,2.76
59,9821,54.2,135,108,1481,155,11309,19.18
60,5005,72.93,67,93,1488,2013,4778,9.79
61,10047,66.36,164,91,1489,714,12468,17.85
62,195,4.62,17,16,1487,399,201,5.47
63,846,39.83,62,21,1524,409,1256,16.48
